1,1,2016,201000,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
2,1,2021,202022,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
3,1,2021,208300,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
4,1,2031,251600,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
5,1,2041,283800,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
6,1,2051,320100,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
7,2,2016,339100,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
8,2,2021,338503,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
9,2,2021,349000,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
10,2,2031,416300,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
11,2,2041,496700,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
12,2,2051,610500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
13,3,2016,315700,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
14,3,2021,323103,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
15,3,2021,333100,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
16,3,2031,398300,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
17,3,2041,478900,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
18,3,2051,575900,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
19,4,2016,86800,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
20,4,2021,87942,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
21,4,2021,90700,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
22,4,2031,98900,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
